1223,male,child,white,smiling,NaN
1224,male,child,white,serious,NaN
1225,male,child,white,smiling,NaN
1226,male,child,white,smiling,NaN
1227,male,child,white,serious,NaN
1229,male,adult,white,serious,NaN
1230,male,child,white,serious,NaN
1231,male,child,white,serious,NaN
1233,male,child,white,serious,NaN
1234,male,child,white,serious,NaN
1235,male,child,white,serious,NaN
1236,male,child,white,serious,NaN
1237,male,child,white,serious,NaN
1238,male,child,white,serious,NaN
1239,male,child,white,serious,NaN
1240,male,child,white,serious,NaN
1241,male,child,white,serious,NaN
1242,male,child,white,serious,NaN
1243,male,child,white,serious,NaN
1244,male,child,white,serious,NaN
1245,male,child,white,serious,NaN
1246,male,child,white,serious,NaN
1247,male,child,white,serious,NaN
1248,male,child,white,serious,NaN
1249,male,child,white,funny,NaN
1250,male,child,white,serious,NaN
1251,male,child,white,serious,NaN
1252,female,child,white,smiling,NaN
1253,male,child,white,serious,NaN
1254,male,child,white,serious,NaN
1255,male,child,white,serious,NaN
1256,female,child,white,serious,NaN
1257,female,child,white,serious,NaN
1258,male,child,white,smiling,NaN
1259,male,child,white,smiling,NaN
1260,male,child,white,smiling,NaN
1261,male,child,white,smiling,NaN
1262,female,child,white,smiling,NaN
1263,male,child,white,smiling,NaN
1264,male,child,white,smiling,NaN
1265,male,child,white,smiling,NaN
1266,male,child,white,smiling,NaN
1267,male,child,white,serious,NaN
1268,male,child,white,smiling,NaN
1269,male,teen,white,serious,NaN
1270,male,teen,white,serious,NaN
1271,male,child,white,smiling,NaN
1272,male,child,white,smiling,NaN
1273,male,child,white,serious,NaN
1274,male,child,white,serious,NaN
1275,male,child,white,smiling,NaN
1276,male,child,white,funny,NaN
1277,male,child,white,smiling,NaN
1278,male,child,white,smiling,NaN
1279,male,child,white,serious,NaN
1280,male,child,white,serious,NaN
1281,male,child,white,smiling,NaN
1282,male,child,white,smiling,NaN
1283,female,adult,white,smiling,NaN
1284,male,child,white,smiling,NaN
1285,female,teen,white,smiling,NaN
1286,female,adult,white,smiling,NaN
1287,male,child,white,smiling,NaN
1288,male,child,white,smiling,NaN
1289,male,child,white,smiling,NaN
1290,male,child,white,smiling,glasses
1291,male,child,white,smiling,glasses
1292,male,child,white,serious,glasses
1293,male,child,white,smiling,NaN
1294,male,child,white,smiling,NaN
1295,male,child,white,smiling,NaN
1296,male,child,white,serious,NaN
1297,female,child,white,serious,NaN
1298,female,teen,hispanic,smiling,NaN
1299,male,child,white,smiling,NaN
1300,male,child,white,serious,NaN
1301,male,child,white,smiling,NaN
1302,male,child,white,smiling,NaN
1303,female,child,white,serious,NaN
1304,male,teen,white,serious,NaN
1305,male,teen,white,serious,NaN
1306,male,child,white,serious,NaN
1307,male,child,white,serious,NaN
1308,male,teen,white,serious,NaN
1309,female,teen,white,smiling,NaN
1310,male,child,white,serious,NaN
1311,male,child,white,serious,NaN
1312,male,teen,white,smiling,NaN
1313,male,child,white,smiling,NaN
1314,male,child,white,serious,NaN
1315,male,child,white,serious,NaN
1316,male,child,white,serious,NaN
1317,male,teen,white,serious,NaN
1318,male,child,white,serious,NaN
1319,male,child,white,serious,NaN
1320,male,child,white,serious,NaN
1321,male,child,white,smiling,NaN
1322,female,teen,white,serious,glasses moustache
1323,male,child,white,smiling,NaN
1324,male,child,white,serious,NaN
1325,male,child,white,smiling,NaN
1326,male,child,white,serious,NaN
1327,male,child,white,serious,NaN
1328,male,child,white,smiling,NaN
1329,male,child,white,serious,NaN
1330,male,child,white,serious,NaN
1331,male,child,white,serious,NaN
1332,male,child,white,serious,NaN
1333,male,child,white,smiling,NaN
1334,male,child,asian,smiling,NaN
1335,female,adult,white,serious,NaN
1336,male,child,white,serious,NaN
1337,male,child,white,smiling,NaN
1338,male,child,white,serious,NaN
1339,male,child,white,serious,NaN
1340,male,child,white,serious,NaN
1341,male,child,white,serious,NaN
1342,male,child,white,smiling,NaN
1343,female,child,white,smiling,NaN
1344,male,child,white,smiling,NaN
1345,female,child,white,smiling,NaN
1346,male,child,white,smiling,NaN
1347,male,child,white,smiling,NaN
1348,male,child,white,funny,NaN
1349,male,child,white,smiling,NaN
1350,male,child,white,smiling,NaN
1351,male,child,white,serious,NaN
1352,female,child,white,serious,hat bandana
1353,female,child,white,serious,hat
1354,female,child,white,smiling,hat
1355,female,teen,white,smiling,NaN
1356,male,child,white,serious,NaN
1357,male,child,white,serious,NaN
1358,male,child,white,smiling,NaN
1359,male,child,white,smiling,NaN
1360,male,child,black,smiling,glasses
1361,male,child,black,serious,hat
1362,male,child,black,serious,NaN
1363,female,child,white,smiling,NaN
1364,female,child,white,serious,hat
1365,male,child,white,smiling,NaN
1366,female,teen,white,smiling,NaN
1367,male,child,white,serious,NaN
1368,female,child,white,serious,NaN
1369,male,child,white,serious,NaN
